,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_transits,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_sigma5d_max,b,bp_g,bp_rp,dec,dec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,dec_pseudocolour_corr,designation,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_fe_h,dr2_rv_template_logg,dr2_rv_template_teff,duplicated_source,ecl_lat,ecl_lon,g_rp,ipd_frac_multi_peak,ipd_frac_odd_win,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,l,matched_transits,matched_transits_removed,new_matched_transits,nu_eff_used_in_astrometry,parallax,parallax_error,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,parallax_pseudocolour_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_bp_n_blended_transits,phot_bp_n_contaminated_transits,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_obs,pm,pmdec,pmdec_error,pmdec_pseudocolour_corr,pmra,pmra_error,pmra_pmdec_corr,pmra_pseudocolour_corr,pseudocolour,pseudocolour_error,ra,ra_dec_corr,ra_error,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ra_pseudocolour_corr,random_index,ref_epoch,ruwe,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,solution_id,source_id,visibility_periods_used
0,227.49082946777344,0.15279334783554077,3.5618696212768555,6.142430782318115,13,0,115,0,115,3,False,0.42356452345848083,11.709728829151869,,,13.622126337457962,0.16360749304294586,,,,,b'Gaia EDR3 3166433616428931072',,,0,,,,False,-8.568713069650844,108.86051071596407,,0,100,0.9306332468986511,60.0487060546875,203.48920745053547,15,10,4,,,,,,,,,,,,0,0,0,,20917.18838918913,14.914236068725586,1402.4981689453125,14.8861083984375,113,2,,,,,0,0,0,,,,,,,,,,,109.20256229907515,0.9795876741409302,0.2528080344200134,,,,,1042347422,2016.0,,-26.24725914001465,-31.378211975097656,-26.32459259033203,-31.431621551513672,0.5477011799812317,0.9801328182220459,0.5462446212768555,0.921807587146759,1636042515805110273,3166433616428931072,8
1,255.4328155517578,0.0,0.0,0.12849493324756622,28,0,248,0,248,31,False,0.07687266916036606,11.782237536676567,0.3001079559326172,0.7632312774658203,13.580121868118384,0.03764863684773445,-0.30144670605659485,-0.20625120401382446,0.0025507931131869555,,b'Gaia EDR3 3166429561980040448',,,0,,,,False,-8.597053351970219,108.96659146247123,0.4631233215332031,0,0,0.07249511778354645,96.36328125,203.57185882210356,28,0,10,1.5707567930221558,0.277043508701844,0.04858655482530594,5.702061176300049,-0.060499005019664764,0.24842052161693573,,3004.230213690348,11.922957420349121,251.97021484375,16.644208908081055,0,0,24,1.1949349641799927,5461.426358681205,3.6693968772888184,1488.3717041015625,16.344100952148438,238,0,3521.8193214164435,12.446784973144531,282.95013427734375,15.880977630615234,0,0,25,2.730901002883911,-2.5931030435314186,0.043103691190481186,,-0.8565261759387726,0.05412954464554787,-0.07889723032712936,,,,109.30565973799554,-0.08064910769462585,0.04276638105511665,-0.01839439570903778,0.0831880047917366,-0.24782289564609528,,383828594,2016.0,1.0044602155685425,-59.12571334838867,8.924108505249023,-24.314184188842773,-37.309669494628906,0.2653343379497528,0.18136659264564514,0.40346840023994446,0.8624047040939331,1636042515805110273,3166429561980040448,17
2,277.300048828125,0.2101602554321289,0.6429467797279358,1.6177195310592651,27,0,235,0,235,31,False,0.17339864373207092,11.774804709656081,0.5487957000732422,1.2279891967773438,13.588010595000346,0.08113989233970642,-0.28061532974243164,-0.10248234122991562,-0.052504122257232666,,b'Gaia EDR3 3166429630699269376',,,0,,,,False,-8.590826497513824,108.95353002820322,0.6791934967041016,1,0,0.12294463813304901,99.11489868164062,203.55933467215647,27,0,9,1.4623535871505737,0.629511722153413,0.1055632010102272,5.963363170623779,-0.045389171689748764,0.21924683451652527,,687.3130133789217,11.77658748626709,58.36266326904297,18.245655059814453,2,0,26,1.224317193031311,1571.0983566651855,1.9685912132263184,798.0825805664062,17.69685935974121,229,0,1236.2096641923772,6.604414463043213,187.17929077148438,17.01766586303711,1,0,26,4.047524452209473,-1.0441395201907542,0.09880957007408142,,-3.910527919712658,0.12124168872833252,-0.1433412730693817,,,,109.29334300444644,-0.07565031945705414,0.09417694061994553,0.02633366733789444,0.01739356853067875,-0.24252106249332428,,458488225,2016.0,1.0748820304870605,-66.12566375732422,16.169754028320312,-25.13985824584961,-38.320587158203125,0.23660609126091003,0.19289591908454895,0.39300793409347534,0.8673428297042847,1636042515805110273,3166429630699269376,16
3,286.3321228027344,0.08789289742708206,1.0000801086425781,1.8308321237564087,27,0,239,0,239,31,False,0.056497033685445786,11.773735921678346,0.5901145935058594,1.323862075805664,13.584155261058353,0.02799607627093792,-0.3125752806663513,-0.0930776298046112,0.02652570977807045,,b'Gaia EDR3 3166429630699269888',,,0,,,,False,-8.594561626983689,108.9546967963921,0.7337474822998047,0,0,0.1191212609410286,98.62055206298828,203.56317579090808,27,0,8,1.4500645399093628,1.328624825914808,0.0363968200981617,36.50387191772461,0.033559978008270264,0.2710186541080475,,4623.565822747852,17.597373962402344,262.7418212890625,16.17609977722168,0,0,24,1.2485284805297852,10978.74319369741,4.993622779846191,2198.552734375,15.58598518371582,226,0,9083.7076530345,21.135162353515625,429.7912292480469,14.852237701416016,0,0,23,1.7294881343841553,-0.9816037265594914,0.03321881219744682,,-1.4239323520331333,0.03924598544836044,-0.1678358018398285,,,,109.29400858365717,-0.11987210065126419,0.031253229826688766,0.03767648711800575,0.12956741452217102,-0.1247645691037178,,1802729806,2016.0,1.0843491554260254,-63.36482238769531,15.176788330078125,-25.279855728149414,-38.06791305541992,0.24417951703071594,0.18355204164981842,0.38832375407218933,0.8692759871482849,1636042515805110273,3166429630699269888,17
4,362.9266662597656,0.04287492856383324,1.2318055629730225,4.783009052276611,29,0,255,9,255,31,False,0.02499004453420639,11.693826204594641,0.6945657730102539,1.4960203170776367,13.581884341329955,0.013572664000093937,-0.5217435359954834,-0.049744412302970886,0.009162033908069134,,b'Gaia EDR3 3166430176158876416',,,0,,,,False,-8.608401916680998,108.86740581888729,0.8014545440673828,0,0,0.07141927629709244,94.8853530883789,203.52698990794255,29,0,9,1.4171333312988281,0.21168638813819923,0.018054360523819923,11.724945068359375,-0.15314380824565887,0.19176888465881348,,31003.550635992455,20.403135299682617,1519.54833984375,14.110013961791992,0,0,27,1.2631406784057617,81052.71398854529,15.370330810546875,5273.32275390625,13.415448188781738,226,0,71377.43153777605,38.20659255981445,1868.19677734375,12.613993644714355,0,0,24,2.7310540676116943,-2.571392647024482,0.014128053560853004,,-0.9201066100168125,0.017652399837970734,-0.11639958620071411,,,,109.20411191096089,-0.06989258527755737,0.013749504461884499,-0.12059813737869263,0.14509010314941406,-0.11773901432752609,,417068529,2016.0,1.2199312448501587,,,,,,,,,1636042515805110273,3166430176158876416,16
5,237.71920776367188,0.0,0.0,-0.5019181370735168,28,0,245,0,245,31,False,0.05239776894450188,11.696959599043964,0.5629692077636719,1.2702627182006836,13.590096885618033,0.02681105211377144,-0.4687821865081787,-0.07442576438188553,-0.08325762301683426,,b'Gaia EDR3 3166430180455100288',,,0,,,,False,-8.600318734909237,108.86587381714989,0.7072935104370117,0,0,0.05864416062831879,94.07880401611328,203.51922514207803,28,0,8,1.458518147468567,1.5703553720333991,0.035490408539772034,44.247318267822266,-0.06425154954195023,0.28775015473365784,,5301.6001440072105,19.232023239135742,275.66522216796875,16.027524948120117,5,0,25,1.2392746210098267,12277.91076249067,4.604703426361084,2666.384765625,15.464555740356445,234,0,9914.102584290526,15.582155227661133,636.2471923828125,14.757262229919434,1,0,24,16.264591217041016,-16.167792266988133,0.029041098430752754,,-1.771836997234203,0.036390237510204315,-0.18819132447242737,,,,109.20366769546179,-0.10889477282762527,0.02785997837781906,-0.054403744637966156,0.062167324125766754,-0.07784635573625565,,1126602561,2016.0,0.9758004546165466,-79.92314910888672,25.28226661682129,-22.01171875,-37.70778274536133,0.3295118808746338,0.2448994219303131,0.5265952944755554,0.8486478924751282,1636042515805110273,3166430180455100288,16
6,276.4824523925781,0.0,0.0,-0.21453015506267548,31,0,274,0,274,31,False,0.04749028757214546,11.738335580878397,0.2402496337890625,0.6341438293457031,13.588046346246406,0.02444021962583065,-0.37768203020095825,-0.220373272895813,-0.010973387397825718,,b'Gaia EDR3 3166430317894045312',,,0,,,,False,-8.596153741804445,108.9130412694939,0.3938941955566406,0,0,0.10987556725740433,97.66299438476562,203.54161004159445,31,0,11,1.5982741117477417,0.40010569953303093,0.03158248960971832,12.66859245300293,0.024284372106194496,0.3387070894241333,,7385.9571345552,22.599294662475586,326.82244873046875,15.667525291442871,3,0,28,1.186279535293579,12706.802944857862,5.4116621017456055,2348.040771484375,15.427275657653809,269,0,7687.862760117226,12.438922882080078,618.0488891601562,15.033381462097168,1,0,26,0.8535013198852539,-0.740558102447895,0.026667410507798195,,-0.42430911361361334,0.032749950885772705,-0.16551297903060913,,,,109.25179294678352,-0.1306028515100479,0.026082495227456093,-0.0737028419971466,0.13127991557121277,-0.2134810835123062,,984851228,2016.0,0.9895301461219788,-77.19257354736328,23.263851165771484,-22.59364891052246,-37.594966888427734,0.27753472328186035,0.20878095924854279,0.45262837409973145,0.864766538143158,1636042515805110273,3166430317894045312,17
7,258.1287536621094,0.0,0.0,-0.21635295450687408,30,0,262,0,262,31,False,0.047006797045469284,11.76702475428837,0.7435636520385742,1.5810070037841797,13.599910375245228,0.02402700111269951,-0.35519587993621826,-0.20819710195064545,0.0032386661041527987,,b'Gaia EDR3 3166430382317328256',,,0,,,,False,-8.580926981722072,108.9376368501268,0.8374433517456055,0,0,0.09676260501146317,96.64100646972656,203.54210716489425,30,0,10,1.40471351146698,2.127979741566342,0.03147897124290466,67.60004425048828,0.034367967396974564,0.3495323061943054,,4872.245946783336,15.205748558044434,320.42132568359375,16.119218826293945,3,0,30,1.2759407758712769,13325.53993641465,4.654841899871826,2862.7265625,15.375655174255371,260,0,12130.354134340856,14.265226364135742,850.3442993164062,14.538211822509766,0,0,28,15.557418823242188,-11.313886073347552,0.02645053155720234,,-10.678448670013225,0.0326506681740284,-0.14022284746170044,,,,109.2786715981148,-0.10115568339824677,0.026053912937641144,-0.054722245782613754,0.14211806654930115,-0.18192239105701447,,1368759700,2016.0,0.9891796708106995,-71.72262573242188,17.276283264160156,-23.172487258911133,-37.361976623535156,0.27192291617393494,0.1833619773387909,0.43677157163619995,0.867594301700592,1636042515805110273,3166430382317328256,17
8,430.440673828125,0.21371939778327942,5.0193634033203125,5.671314239501953,30,0,266,9,266,31,False,0.07150468230247498,11.719646898427746,0.4340095520019531,1.0366315841674805,13.582178508333687,0.036628950387239456,-0.35757407546043396,-0.27748730778694153,0.057047709822654724,,b'Gaia EDR3 3166430489692741376',,,0,,,,False,-8.604343363962059,108.89588207032416,0.6026220321655273,0,0,0.07106754183769226,97.70772552490234,203.5391808931372,30,0,11,1.5087554454803467,0.7713262848402048,0.0452989786863327,17.027454376220703,0.012320796959102154,0.3264161944389343,,4417.341005675878,13.919290542602539,317.3538818359375,16.22563934326172,2,0,29,1.219521403312683,9084.368625223955,3.8346667289733887,2369.01123046875,15.791629791259766,257,0,6661.2414815547345,8.168200492858887,815.509033203125,15.189007759094238,0,0,27,8.467928886413574,-8.383575260511858,0.04034833610057831,,-1.192262348259594,0.047840867191553116,-0.24292533099651337,,,,109.23337536351649,-0.19621475040912628,0.038244325667619705,-0.07667912542819977,0.19330449402332306,-0.2392788827419281,,653342617,2016.0,1.2568506002426147,,,,,,,,,1636042515805110273,3166430489692741376,17
9,287.2045593261719,0.0,0.0,0.47851353883743286,31,3,270,0,273,31,False,0.0626993477344513,11.722596613570003,0.5468301773071289,1.2386093139648438,13.588674086927801,0.03245307132601738,-0.3896746337413788,-0.23291020095348358,-0.016535306349396706,,b'Gaia EDR3 3166430524052478720',,,0,,,,False,-8.597881112602474,108.89519273636127,0.6917791366577148,0,0,0.08196795731782913,97.21662139892578,203.53326756005995,31,0,11,1.4668158292770386,1.1602145995573285,0.04202478751540184,27.607864379882812,0.02348025143146515,0.34638121724128723,,3308.8187704724337,15.857240676879883,208.6629638671875,16.53936004638672,1,0,29,1.2342844009399414,7549.790005977086,4.93427038192749,1530.072265625,15.99252986907959,269,0,6009.768855226492,20.369413375854492,295.03887939453125,15.300750732421875,3,0,27,4.963571548461914,-2.3562632815819433,0.03495754674077034,,-4.368645849538657,0.04320869594812393,-0.16062460839748383,,,,109.23356141289624,-0.12158864736557007,0.03453449904918671,-0.08227210491895676,0.1337411105632782,-0.2266850471496582,,786918654,2016.0,1.0195908546447754,-78.38998413085938,23.46778678894043,-22.541067123413086,-37.67469787597656,0.27737781405448914,0.20821374654769897,0.45173001289367676,0.8660451769828796,1636042515805110273,3166430524052478720,17
