,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_transits,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_sigma5d_max,b,bp_g,bp_rp,dec,dec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,dec_pseudocolour_corr,designation,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_fe_h,dr2_rv_template_logg,dr2_rv_template_teff,duplicated_source,ecl_lat,ecl_lon,g_rp,ipd_frac_multi_peak,ipd_frac_odd_win,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,l,matched_transits,matched_transits_removed,new_matched_transits,nu_eff_used_in_astrometry,parallax,parallax_error,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,parallax_pseudocolour_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_bp_n_blended_transits,phot_bp_n_contaminated_transits,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_obs,pm,pmdec,pmdec_error,pmdec_pseudocolour_corr,pmra,pmra_error,pmra_pmdec_corr,pmra_pseudocolour_corr,pseudocolour,pseudocolour_error,ra,ra_dec_corr,ra_error,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ra_pseudocolour_corr,random_index,ref_epoch,ruwe,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,solution_id,source_id,visibility_periods_used
0,495.2080383300781,0.13075628876686096,0.8691965341567993,0.5997365117073059,53,2,461,0,463,31,False,0.09051802009344101,-1.1606066053694648,0.7550945281982422,1.5839290618896484,61.699026296018374,0.03937903791666031,-0.11348195374011993,0.1069541648030281,-0.1494935005903244,,b'Gaia EDR3 427589351805766912',,,0,,,,False,50.505305032848476,42.97693663215646,0.8288345336914062,0,0,0.014231232926249504,64.59483337402344,122.07186554208495,60,0,19,1.4003891944885254,1.2021605794703634,0.05402505397796631,22.251907348632812,0.16895216703414917,-0.1248747706413269,,1242.858920487606,10.584476470947266,117.42280578613281,17.602487564086914,3,0,55,1.2648897171020508,3435.4943502784417,1.8775668144226074,1829.7587890625,16.847393035888672,502,0,3102.6626079702933,8.631397247314453,359.4623718261719,16.018558502197266,3,0,52,12.910835266113281,-1.0293300201823947,0.0576237253844738,,12.869737656906258,0.05155690759420395,-0.39908280968666077,,,,11.045551246404882,-0.28494593501091003,0.03862806409597397,0.1069127693772316,-0.15036287903785706,0.07533153146505356,,1772953702,2016.0,1.0191891193389893,-109.9768295288086,46.79791259765625,-49.1772346496582,20.167882919311523,0.11062899976968765,0.2436419576406479,0.0807824358344078,0.19656455516815186,1636042515805110273,427589351805766912,27
1,783.6333618164062,0.07373024523258209,6.290992736816406,0.4472830295562744,50,2,437,334,439,31,True,0.02371654473245144,-1.1543088465421156,0.33057689666748047,0.831146240234375,61.70531512379722,0.009830702096223831,-0.13304176926612854,0.10963689535856247,-0.14505362510681152,,b'Gaia EDR3 427589420525272192',,,0,,,,False,50.5105183834741,42.982503624179,0.5005693435668945,0,0,0.02144506573677063,81.49522399902344,122.0716373752793,57,0,16,1.554694652557373,1.551935783126863,0.01364986039698124,113.69609069824219,0.1658959686756134,-0.015387441962957382,,70666.30308180966,34.611541748046875,2041.6976318359375,13.215511322021484,5,0,56,1.2023406028747559,132121.3421585203,22.85622215270996,5780.54150390625,12.884934425354004,481,0,88188.54727577954,39.111778259277344,2254.782470703125,12.38436508178711,2,0,55,6.514889717102051,-3.6549308232028914,0.01501229964196682,,-5.393075724275956,0.013736553490161896,-0.4018927216529846,,,,11.044695808096357,-0.3082440197467804,0.009881881065666676,0.170858234167099,-0.11045731604099274,0.0171879380941391,,1064005463,2016.0,1.0144799947738647,,,,,,,,,1636042515805110273,427589420525272192,26
2,370.1400146484375,0.0,2.0047128985735104e-15,-1.23838210105896,47,3,407,0,410,31,False,0.02351372316479683,-1.1450342910007998,0.47677040100097656,1.1186285018920898,61.714410656597174,0.009583060629665852,-0.09313169866800308,0.02600240893661976,-0.07227341085672379,,b'Gaia EDR3 427589420525309056',,,0,,,,False,50.521661195997495,42.983273148041235,0.6418581008911133,0,0,0.019471175968647003,95.66695404052734,122.06544062015429,54,0,16,1.490691065788269,2.894211877219694,0.013327573426067829,217.15969848632812,0.2040127068758011,-0.19363394379615784,,36796.65637430503,71.6982421875,513.215576171875,13.92402172088623,0,0,50,1.2277261018753052,78712.95636553812,39.32334899902344,2001.6849365234375,13.447251319885254,459,0,59841.29431982798,79.50834655761719,752.6416625976562,12.80539321899414,0,0,50,11.642953872680664,-5.121305813302397,0.014861502684652805,,-10.456127406952717,0.012679167091846466,-0.4818058907985687,,,,11.031074870706426,-0.33508551120758057,0.009890126064419746,0.20329689979553223,-0.049554698169231415,-0.13176648318767548,,1509639461,2016.0,0.9558281898498535,-109.13822937011719,41.36506271362305,-32.60227966308594,21.016063690185547,0.13124439120292664,0.3329622447490692,0.11040611565113068,0.08486726135015488,1636042515805110273,427589420525309056,27
3,459.8540344238281,0.0,0.0,0.09096433967351913,51,2,443,0,445,31,False,0.08115603774785995,-1.1443011893436574,0.8350067138671875,1.7148456573486328,61.7152586640122,0.03515903279185295,-0.1259775608778,0.08697881549596786,-0.11772506684064865,,b'Gaia EDR3 427589459186407424',,,0,,,,False,50.51984773134111,42.98911117788258,0.8798389434814453,0,0,0.017252175137400627,69.78050994873047,122.06950698957898,58,0,19,1.3798161745071411,1.3371850147773954,0.04914039000868797,27.211524963378906,0.2102496474981308,-0.13829101622104645,,1373.0952931929432,8.383027076721191,163.79469299316406,17.494291305541992,11,0,50,1.2826582193374634,4085.381522906879,3.3190646171569824,1230.8834228515625,16.659284591674805,491,0,3867.0530429891146,13.042980194091797,296.4853820800781,15.77944564819336,11,0,48,5.246114730834961,-0.17178426255055643,0.05141274258494377,,-5.243301263123973,0.045409493148326874,-0.4314952492713928,,,,11.03960724455568,-0.31892815232276917,0.03603193908929825,0.14439134299755096,-0.10484428703784943,-0.021058594807982445,,1078811129,2016.0,1.002313256263733,-104.28627014160156,41.63071060180664,-44.71413040161133,17.240463256835938,0.1481158286333084,0.29554492235183716,0.07832983136177063,0.13245172798633575,1636042515805110273,427589459186407424,27
4,7069.44384765625,1.9750181436538696,214.6995849609375,66.32830810546875,49,0,425,0,425,31,False,0.3462055027484894,-1.138121916973769,0.8287487030029297,1.830500602722168,61.722700808909714,0.14777082204818726,-0.07109443843364716,0.15145955979824066,-0.09243016690015793,,b'Gaia EDR3 427589630985269888',,,0,,,,False,50.49761813218994,43.053134421892075,1.0017518997192383,2,0,0.05399733781814575,15.408102035522461,122.11549203243005,57,0,17,1.3642246723175049,1.0365859721426172,0.21676893532276154,4.781985759735107,0.21053273975849152,-0.04621880501508713,,1380.779749234164,10.879831314086914,126.91187286376953,17.488231658935547,0,0,51,1.397080898284912,4084.640985317827,8.799580574035645,464.1858825683594,16.659482955932617,455,0,4325.793998569259,19.573938369750977,220.9976348876953,15.657731056213379,1,0,45,5.139448642730713,-1.4218630829738959,0.21019740402698517,,-4.938849898179736,0.2082473486661911,-0.4189601540565491,,,,11.136248871939253,-0.344192773103714,0.16142438352108002,0.18953579664230347,-0.03795948624610901,-0.029746022075414658,,1288777856,2016.0,4.012685775756836,-129.14804077148438,38.8376350402832,-44.75868606567383,19.80157470703125,0.12816013395786285,0.3112678527832031,0.08722139149904251,0.22372078895568848,1636042515805110273,427589630985269888,27
5,3376.533203125,0.22287139296531677,72.90125274658203,-3.1138346195220947,56,6,490,496,496,95,False,0.0387408584356308,-1.1092295214071877,0.09306049346923828,0.28714466094970703,61.751889936904824,0.017393194139003754,-0.04066470265388489,0.21623378992080688,-0.18750867247581482,-0.02922045812010765,b'Gaia EDR3 427589802786612992',,,0,,,,False,50.51405634211676,43.09466877773042,0.19408416748046875,0,0,0.022933783009648323,66.31941986083984,122.12703723591838,65,0,65,,1.389782606316525,0.023938262835144997,58.05695343017578,0.2149420976638794,-0.07086894661188126,0.00010379426385043189,1114817.6741980065,278.140869140625,4008.1044921875,10.220532417297363,0,0,59,1.168971300125122,1674780.3939948794,583.705078125,2869.2236328125,10.127471923828125,537,0,842952.5247763417,192.78268432617188,4372.55322265625,9.933387756347656,0,0,59,4.033436298370361,2.2077075834084385,0.02404768019914627,-0.00440097413957119,-3.37559407010266,0.022638386115431786,-0.39873233437538147,-0.017753243446350098,1.677378535270691,0.004479302559047937,11.158994930933975,-0.3224800229072571,0.017147954553365707,0.0378180555999279,-0.1665191799402237,0.030511733144521713,-0.009222554974257946,311055262,2016.0,0.9009407758712769,,,,,,,,,1636042515805110273,427589802786612992,27
6,471.7998962402344,0.0,0.0,0.3515883684158325,51,1,445,0,446,31,False,0.09932005405426025,-1.0991362382817984,1.1342296600341797,2.181121826171875,61.76150668368172,0.042069047689437866,-0.07944555580615997,0.04393409192562103,-0.10604932904243469,,b'Gaia EDR3 427589837143699840',,,0,,,,False,50.53267900698114,43.08164234606084,1.0468921661376953,0,0,0.008176212199032307,41.59716033935547,122.10932755528509,59,0,17,1.3173390626907349,1.0333723049045578,0.056618403643369675,18.25152587890625,0.15127018094062805,-0.15081362426280975,,822.8967346363938,10.836292266845703,75.93895721435547,18.05017852783203,1,0,53,1.3591387271881104,3225.276788804214,2.5449249744415283,1267.336669921875,16.91594886779785,497,0,3560.7016828016735,10.017158508300781,355.46026611328125,15.869056701660156,1,0,52,5.710472106933594,0.10606207754239004,0.0629480630159378,,5.709487004029949,0.052672337740659714,-0.49714863300323486,,,,11.121021490096872,-0.3458441197872162,0.04124263674020767,0.10044620931148529,-0.11802128702402115,0.012689347378909588,,174560955,2016.0,1.0111149549484253,-114.99043273925781,45.999595642089844,-58.59759521484375,17.630578994750977,0.2450477033853531,0.32988637685775757,0.07889696955680847,0.10846904665231705,1636042515805110273,427589837143699840,27
7,440.4960021972656,0.0,0.0,0.5782486796379089,48,0,416,8,416,31,False,0.040461789816617966,-1.1083455855132613,0.5777597427368164,1.2997303009033203,61.75190013584993,0.01784597896039486,0.000921372848097235,0.0600753091275692,-0.11107553541660309,,b'Gaia EDR3 427589940222730880',,,0,,,,False,50.53397037116483,43.054419728401555,0.7219705581665039,0,0,0.020390095189213753,68.31695556640625,122.09461882599474,55,0,17,1.4541460275650024,1.7018102807429836,0.023993080481886864,70.92920684814453,0.15097008645534515,-0.0655287429690361,,7277.090394290594,15.600659370422363,466.46044921875,15.683648109436035,2,0,50,1.2444223165512085,17084.065667695842,3.6910698413848877,4628.486328125,15.105888366699219,457,0,13982.703152309858,12.494783401489258,1119.083251953125,14.383917808532715,1,0,51,17.557924270629883,2.1596167809362377,0.025688527151942253,,17.424601357851937,0.02232399769127369,-0.4523630738258362,,,,11.09048650236018,-0.34608572721481323,0.01749510131776333,0.009506581351161003,-0.11383122950792313,-0.016847098246216774,,1363900996,2016.0,1.0194200277328491,,,,,,,,,1636042515805110273,427589940222730880,27
8,402.53924560546875,0.0,0.0,-1.4179710149765015,50,1,430,0,431,31,False,0.12710535526275635,-1.0963048303959926,0.9254608154296875,1.8483772277832031,61.7632946057566,0.054743893444538116,-0.06397533416748047,0.09682746976613998,-0.14763103425502777,,b'Gaia EDR3 427589974582463872',,,0,,,,False,50.55730856855997,43.03643576821003,0.9229164123535156,0,0,0.011112319305539131,68.72298431396484,122.07158644514006,57,0,19,1.3639897108078003,1.2579606150075013,0.07556300610303879,16.647836685180664,0.1751757562160492,-0.10357608646154404,,608.5224111396234,10.198214530944824,59.66950607299805,18.377851486206055,1,0,49,1.2941009998321533,1967.8438472894316,1.6512999534606934,1191.6937255859375,17.452390670776367,465,0,1938.0662896096446,9.748235702514648,198.81201171875,16.52947425842285,0,0,50,4.80896520614624,-4.404023147701219,0.07986356317996979,,-1.9315091010832666,0.06984246522188187,-0.4658496379852295,,,,11.04113206791146,-0.317931592464447,0.055973492562770844,-0.0533902682363987,-0.1700165867805481,0.029146889224648476,,639950734,2016.0,0.9509890079498291,-114.25263977050781,42.413230895996094,-45.374549865722656,18.528236389160156,0.17100289463996887,0.30692410469055176,0.059345148503780365,0.13445664942264557,1636042515805110273,427589974582463872,26
9,7337.53271484375,0.3564744293689728,149.26058959960938,53.803985595703125,51,1,440,388,441,31,True,0.06601554155349731,-1.1007482005993892,0.48618602752685547,1.1271209716796875,61.75894202791596,0.028329215943813324,-0.03322780132293701,0.15505936741828918,-0.12882310152053833,,b'Gaia EDR3 427589974582465664',-58.02432632446289,8.500348091125488,14,0.0,4.5,5500.0,False,50.55185799631629,43.036301366568765,0.640934944152832,0,0,0.01549144834280014,48.309913635253906,122.07474495071331,59,0,18,1.4915331602096558,1.4808951389125484,0.038800641894340515,38.16676712036133,0.20193034410476685,-0.14386674761772156,,65804.47148074111,417.4697570800781,157.62692260742188,13.292903900146484,0,0,55,1.223043441772461,141990.5578974111,286.2339172363281,496.06475830078125,12.806717872619629,480,0,107856.1558858959,646.156494140625,166.9195556640625,12.165782928466797,0,0,55,1.54536771774292,0.8545281205943241,0.04106619209051132,,-1.2876114067645466,0.03582219034433365,-0.49737784266471863,,,,11.048068438229913,-0.40404537320137024,0.029516493901610374,-0.002221510512754321,-0.13412702083587646,-0.03336404263973236,,171617073,2016.0,3.2978365421295166,,,,,,,,,1636042515805110273,427589974582465664,27
